Index,name,rating,comment,review.date,country,Year,Month,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
75,Anonymous,8.9,A very comfortable hostel. Appreciated the privacy curtain on the dorm beds. Plenty of hang-out areas. Plenty of bathrooms. My one complaint is the horrendous charge for weekend stays. Greedy greedy!,05-Sep-18,"Australia, ",2018,Sep,1,0,1,0,0,0,0,0,2,0
76,Anonymous,9.1,This is one of the best hostel close to Busáras. Enjoyed my stay.,Property Reply,South ,2018,Sep,0,0,0,0,0,0,0,0,0,0
77,Anonymous,8.6,Overall good stay! Hostel didn’t provide any information on location or anything upon check in which was unfortunate. Huge kitchen and simple but good breakfast. Rooms had own ensuite which was good. Shower is a push on similar to a tap which made showers very very fast because you had to press the button every 30 seconds. Only thing I found was no age restriction left many older people not knowing the hostel etiquette. Listening to phone very loud at 7:30 am and night as well.,03-Sep-18,"Canada, ",2018,Sep,1,1,0,1,2,3,1,3,2,6
78,Anonymous,8,"Big institutional impersonal hostel. The one woman i spoke to on reception came across as rude, and failed to mention there was a lift, when i had a big suitcase. Need your keycard for everything, so i guess security good. Good location, next to busarus, convenient for airport bus 747 and city very walkable. Just not my cup of tea, wouldn't stay again",Property Reply,"England, ",2018,Sep,0,2,0,0,1,0,2,1,1,2
79,Anonymous,9.7,Had a bit of a mix up with which room I was meant to be in because the front desk girl was new and didn’t know what she was doing. But her manager quickly fixed the problem and apologized profusely and was extremely helpful with the whole situation. The dorms are spacious and cleaned daily and there are privacy curtains on the bunks giving a sense of personal space. The bathroom in the dorm was also very clean. Would definitely recommend and stay again!,02-Sep-18,"USA, ",2018,Sep,0,1,0,1,2,1,0,5,1,6
80,Lswan,8.9,This place was great. The most secure hostel I've ever stayed at. This was the first hostel with curtains on the beds. This was both a pro and a con. It was nice to have the privacy but at the same time no one really talked to each other in the room. I liked that they had breakfast. Would stay again for sure.,Property Reply,"Canada, ",2018,Sep,0,1,0,0,0,0,0,0,0,1
81,Anonymous,10,"Jacobs Inn was such a breath of fresh air. The space looks amazing (colorful, modern and clean). It had a lot of character and warmth. All of the staff (the girls in the morning and the Romanian boys at night) were super friendly, fun, helpful and professional. The guys did a great job of keeping the place safe and comfortable at night, even when folk who had too much to drink were causing disturbances. It’s central and a perfectly located. I was very happy with everything. Great place!",24-Aug-18,South ,2018,Aug,0,3,0,0,6,0,0,6,0,8
82,Zackdaw,9.1,"Very large and superbly run hostel. Rooms are very nice and the beds are decent. The pod rooms are excellent. Breakfast is pretty good, toast, cereals, coffee, tea, occasionally eggs. Rooms are extremely quiet, so earplugs are recommended in the dorms for light sleepers in case your roommates are up and about or active sleepers.",Property Reply,"USA, ",2018,Aug,0,2,0,1,4,2,1,3,1,7
83,Anonymous,9.1,"Great hostel with loads of common area space, storage space, clean facilities and helpful staff. A great hostel if you want to socialize, but also totally fine if you just want to keep to yourself. Would recommend!",22-Aug-18,"Ireland, ",2018,Aug,0,0,0,0,2,0,0,3,0,3
84,conorgilsenan5516,9.4,"The location is fantastic and easily walkable to loads of main tourist attractions in the city. I stayed in one of the 12 bed dorm rooms and it was a good experience. Each bed has a shelf built into the headboard so that you can leave your phone, book, etc on it during the night and this shelf also has a built in light for reading, 2 USB charging ports, and 2 outlets; incredibly handy. I like that each bed has a privacy curtain and lockable luggage locker under the bed. Would stay again!",Property Reply,"USA, ",2018,Aug,0,1,0,0,1,1,2,1,1,4
85,ryang2012,8.3,We shared our room with 6 other people. There was a bathroom and shower I’m in our room which was great except it smelled like mildew. Good and helpful staff! Fun environment,20-Aug-18,"USA, ",2018,Aug,0,2,1,0,3,0,1,2,1,3
86,Anonymous,9.4,Brilliant hostel and so nice after the refurbishment! Have stayed here many times before but the updates make it so much better!,15-Aug-18,"Australia, ",2018,Aug,0,1,0,0,1,0,0,1,0,1
87,Abbi1537,9.4,Love staying at this hostel! I have done so 3 or 4 times and is definitely the best value for money in Dublin. Great location next to the bus station and a short walk to the heart of the city center. Right next to a Luas stop. Only complaint is that my light next to my bed was broken one night and it gets quite stuffy in the rooms and the small fan that was running didn’t do much to cool it down. Minor maintenance and bigger fans would help.,Property Reply,"USA, ",2018,Aug,3,1,0,1,2,1,1,3,4,4
88,nivedita_mehrotra232280,8.9,Website has charged money from my debit card but when I was in transit flight I got an email from Jacobs inn that card invalid. Kindly be clear about transaction information. Jacobs inn was kind enough to let me inn at 12:00pm and I made on spot payment. But my cash was spent there and I had to make more payment than promised on website. Never book from their site,Property Reply,"India, ",2018,Aug,2,2,0,1,3,1,1,4,2,4
89,Anonymous,7.4,happy with our stay!,Property Reply,"England, ",2018,Aug,0,1,0,0,1,0,0,1,0,1
90,shividavis7023,8.9,Staff at the desk were full of personality. Very helpful to anyone who came in. Well equipped.,Property Reply,"Canada, ",2018,Aug,0,0,0,0,1,0,0,1,0,2
91,imcudini8562,9.4,"A bit dated and spartan but clean, secure, friendly and excellently located. Our first hostel experience. Would definitely return!",07-Aug-18,"Canada, ",2018,Aug,0,1,0,0,2,0,0,2,0,2
92,Anonymous,6.9,It was very average,Property Reply,"Canada, ",2018,Aug,0,0,0,0,0,0,0,0,0,0
93,snh131991,9.4,"As a first time hostel traveler, Jacobs inn definitely set the bar high for me. I was lucky enough to have a very social dorm where we went out to dinner together and went out. The curtains also gave me a sense of privacy. The front desk is also extremely helpful. Although close to the city center, it is about a 15 minute walk to the pubs but definitely doable. As a single female traveler I highly recommend!",07-Aug-18,"USA, ",2018,Aug,0,1,0,0,2,0,1,3,0,7
94,Anonymous,8,Great hostel would recommend 👍🏼,Property Reply,"England, ",2018,Aug,0,0,0,0,0,0,0,1,0,1
95,johnfhemmer7282,8.6,"Much of the time the loudness of the music added to the cacophony of the din of large groups, especially of youth minimally supervised. Calm music, if any, would have been helpful. The hostel was upbeat enough already without the constant music. Our dorm room door was a constant distraction having no buffer from banging by guests. Staff were friendly and very helpful. The free breakfast was appreciated. Great location!",04-Aug-18,"USA, ",2018,Aug,3,3,1,1,4,1,1,3,4,7
